start	end	text
0	18320	We've talked about how if you want to send a message and you want that message to have
18320	37840	integrity authenticity. We've talked about how if you want to send a message and you want that
37840	42960	message to have integrity authenticity and underpidiation that you should attach a digital signature
42960	50640	to the message and then you can send that message on to the receiver Nigel here and Nigel will if
50640	56400	you recall that digital signature is encrypted with my private key so Nigel needs to decrypt the
56400	63280	message with my public key but there's something we glossed over there and that is how does Nigel
63280	70480	have a copy of my public key and how do I have a copy of his public key so we need to talk about
70480	76000	a step that precedes sending our first message back and forth and that is that we need to exchange
76000	84480	our public keys so here's my public key Nigel needs to have a copy of my public key so I send him
84480	90320	a copy and he does the same he stores it and he does the same thing in reverse he sends me a copy
90320	98080	of his public key good okay excellent we now have a copy of each other's public keys and now I
98080	103200	create my message hash my message encrypt the hash value with my private key creating a
103200	108640	digital signature and I send that message over to Nigel and everything looks perfect here because
108640	115680	he decrypts my digital signature using the public key that he got for me and it proves authenticity
115680	121360	integrity and underpidiation everything looks perfect here right but there's a big flaw here
122080	130400	and the flaw is in the exchange of our public keys so let's replay the scenario again okay so here's
130400	138320	the fundamental problem when I send my public key to Nigel here my my main list just a little
138320	144880	munchkin is going to intercept that public key and instead of forwarding my public key onto Nigel
144880	150880	she's going to forward on her public key and so what Nigel in fact ends up with is not a copy of my
150880	159840	public key but our attackers our malicious munchkins public key so I roll my I send my key over to
159840	168080	Nigel what he receives is a copy of our malicious munchkins our attackers public key and the same
168080	174160	thing in reverse Nigel was sending me a copy of his public key but instead of sending receiving his
174160	182240	public key I get a copy of the malicious munchkins public key and so now both of us have our malicious
182240	188480	munchkins public key and we think I think I have Nigel's public key he thinks he has my public key
188480	194560	but what do we in fact have the malicious munchkins public key and here's the really good question
194560	199760	and I want you to think carefully about this do we know it is there any way that I can tell that
199760	205520	this is the malicious munchkins public key and not Nigel's public key and is there any way that he
205520	212960	can tell that he has the malicious munchkins public key and not my public key and the answer is there's
212960	220400	no way to tell and the reason being is that fundamentally what is a public key it's a number it's
220400	226080	a string of ones and zeros that's it that's all that a public key is and so if I have a string of
226080	231120	numbers I have no idea if that string of numbers belongs to the malicious munchkin or if it belongs
231120	237760	to Nigel and same thing for him and this is the really big problem that we have and that is how do
237760	245600	we verify the owner of a public key how do we know who a public key actually belongs to and the
245600	251440	solution to this problem is digital certificates so how do we go about getting a digital certificate
251440	256480	let's go back to Alice here let's say it's Alice that wants to create her own digital certificate
257120	262160	here's what Alice will do Alice will provide a little bit of information on herself
262160	270400	and a pot a copy of her public key and she will send this information to a certificate authority
270400	274880	you've probably heard of C.A.'s before what are some of the big well-known C.A.'s things like
274880	280160	Commodo, GoDaddy and Trust that's the best one in the world they're Canadian there's all these
280160	285680	different public C.A.'s and so what Alice is going to do is she's going to go to one of these big
285680	290800	public C.A.'s and she's going to provide that C.A. with a copy of her public key and a little bit
290800	296640	of information on herself including her name now the first thing that's going to happen is when
296640	302640	she sends this information to the certificate authority the C.A. is first going to identity
302640	307280	proofer his C.A.'s going to make sure if she says her name is Alice that she is in fact actually
307360	313760	Alice and not say our malicious munchkin so the first step our C.A. does is identity proofing
314640	320080	and then assuming that it's actually Alice that's providing her public key the certificate
320080	324880	authority will encrypt the information that Alice provided and that was a little bit of information
324880	331840	on herself and a copy of her public key and the certificate authority will encrypt this information
331920	339920	with the C.A.'s private key and that's it that's all that's required to create a digital certificate
339920	344560	it's simply the name of the owner and a little bit of information about them and a copy of the
344560	352320	owners public key all of that encrypted with the C.A.'s private key and that creates a digital
352320	359280	certificate and so a digital certificate is just a bit of a cipher text encrypted with the C.A.'s
359280	366320	private key so who can decrypt a digital certificate anyone that has the C.A.'s
366960	372880	public key and who has the big C.A.'s public key like who has come out or go daddy or
372880	379680	and trusts public key the answer is everyone has them how does everyone have them well these
379680	385040	big C.A.'s public keys their digital certificates come pre-installed in things like our browsers
385040	390480	and our operating systems and so you can assume that everyone has the big C.A.'s public keys
390480	395920	and therefore anyone can decrypt a digital certificate that comes from one of the big C.A.'s
397360	400320	so let's replay the scenario one final time
403200	408800	we start the scenario with sending each other our public keys but you never listen very carefully
408880	415280	here you never ever send someone a copy of your public key because anyone could intercept and
415280	422000	replace that public key and transit instead what you send someone is a copy of your digital certificate
422000	427680	so here's my digital certificate I am going to send my digital certificate over to Nigel
430880	436240	now our malicious munchkin is going to continue to be the malicious little munchkin that she is
436240	442240	she is going to intercept that digital certificate in transit can she decrypt the digital certificate
442800	450480	yes anyone can decrypt it so she can decrypt my digital certificate but can she replace my
450480	457200	public key inside the digital certificate with her own public key and the answer is most definitely
457200	462880	no there is no way that she can modify my digital certificate there's no way that she can remove
462880	468400	my public key and replace it with her public key because in order to modify or create a new digital
468400	475520	certificate she would need a copy of the C.A.'s private key and you can bet the C.A. does a very very
475520	482000	good job of protecting their private key and the same thing when Nigel sends his digital certificate
482000	487120	over to me our malicious munchkin here is going to intercept his digital certificate but she can't
487120	494160	modify it what if she were to send because what she did in the last scenario is she forwarded us
494160	500400	not our own public keys but her own and so instead of forwarding on my digital certificate to
500400	505840	Nigel what if she forwarded on her digital certificate and the same thing in the other direction
505840	511840	what if she forwarded on instead of Nigel's digital certificate to me she forwards on her own
511920	516720	digital certificate would Nigel and I know because when we just exchanged public keys
516720	523280	there was no way for us to know this but remember what does the digital certificate contain
523280	532240	it contains the owner it contains the public key and the name of the owner of the public key
532240	537120	and so the first thing that's going to happen is that when Nigel and I decrypt the digital
537120	541520	certificates that came from our malicious munchkin here what we're going to find is that instead of
541520	546000	saying you know instead of Nigel's digital certificate saying this belongs to Nigel it's going to
546000	552080	say it belongs to the malicious munchkin and when Nigel there decrypts my digital certificate he's
552080	556960	going to find that instead of it's saying it belongs to Robert belongs to the malicious munchkin
557840	564080	so digital certificates are the way that we solve this problem of mad in the middle attacks and
564800	570960	forging or replacing public keys digital certificates are how we bind an owner to their
570960	577200	public key so you know who a public key actually belongs to now one final piece that we need to cover
577200	581360	here and that is that there are lots of different certificate authorities around the world
582000	587520	and we want this whole system to be interoperable so that all of our different browsers all of our
587520	592960	different systems we can all use digital certificates from different sources and the way that we make
592960	598400	this whole system interoperable is we use standards and the standard by which we create digital
598400	605600	certificates is x 509 so just remember that the standard that we use to create digital certificates
605600	622240	so they're all created they all fall the same format is x 509
