start	end	text
0	19840	John has talked about how you should associate hashing with integrity.
19840	40660	John has talked about how you should associate hashing with integrity. So let's play
40660	45820	that out. Let's use a scenario here where I want to send an email to my future
45820	50760	business partner here at Nigel. So I want to send Nigel an email with a contract in place
50760	55400	because he and I are going to start a business together, horse trading. So I want to send an
55400	60320	email containing a legal contract and I want to make sure that Nigel receives exactly
60320	64400	the same contract as what I have sent because it's a business contract. I want to make
64400	70640	sure that the message has integrity. So I create my message here, my email. I write
70640	77880	the email and then I hash the email and I attach that hash value to the email. So now
77880	84400	this email here contains the message of the email and a hash value at the bottom. And
84400	91160	now I send the message over to Nigel here. He receives the message. Now he wants to make
91160	95880	sure that the message, the message that he received has integrity. So how is he going
95880	102280	to do that? Well, he will hash the message that he received and he will compare that
102280	107480	to the hash value that he's just calculated to the one that I attached to the email. And
107480	113440	if those hash values match, then he'll know the message has integrity. So this looks
113440	119320	good, right? We've used hashing to prove the integrity of a message. But there's actually
119320	125360	a big problem here. And to explain this problem, we need to introduce another actor into our
125360	130400	little scenario here. Here's the additional character that we need in our little scenario
130400	135760	here, my malicious munchkin. Here's what's going to happen. We're going to replay the scenario
135760	141920	over again. I'm going to create an email containing some information that I want to have integrity.
141920	146560	That I want Nigel here to know has integrity. So I'm going to write the message. I'm going
146560	151880	to attach the hash value to the message. And I'm going to send that message to Nigel.
152280	156680	My malicious munchkin here is going to perform a malicious munchkin in the middle attack,
156680	161640	a man in the middle attack. She's going to catch the ball. She's going to intercept the message.
162680	168920	Now, she's going to modify the message because does integrity provide, if we've just hashed
168920	175800	the message, does that provide confidentiality? No, she can read the message. And what she can do
175880	182200	is she can modify the message. And then she can just remove my hash value, calculate a new hash
182200	189000	value and send it to Nigel. So that's exactly what she's going to do. She's going to modify the message.
189000	194520	And then she's going to forward it onto Nigel. Nigel is going to receive the message.
195400	200040	He's going to hash the message that he received. He's going to compare that to the hash value that's
200040	205480	attached to the message. And what is he going to find? He's going to find that they match. And so
205480	211480	Nigel is going to assume that the message has integrity. And this is the really big flaw here.
211480	218040	This is why you cannot use simply a hash value attached to a message to prove integrity.
218040	222760	Because any little malicious munchkin here could have intercepted the message in transit.
224040	229560	Change the message, take it off my hash value and replace it with her own or their own and
229640	234120	forward on the message. And the receiver has no idea this has happened.
235480	241400	So this is why we do not simply use a hash value to prove that a message has integrity.
241400	247560	Instead we use digital signatures. So this is what the section is about. We're going to talk about
247560	253800	what we can use digital signatures for and how we create them. So let's start with what can we
253800	262360	use digital signatures for? They provide three services, integrity, authenticity, and non-repediation.
263960	268520	So using digital signatures we can achieve integrity, authenticity, and non-repediation.
268520	273640	Let's start by describing how we create a digital signature. It's actually remarkably easy.
273640	279960	There's only two steps involved. Step one in creating a digital signature is the sender
279960	287080	hashes the message. When you hash a message it produces a fixed length message digest.
289400	294360	So that's step one, hash the message. Step two, and listen very carefully here.
295160	301480	Step two, the sender encrypts the hash value with the sender's private key.
302760	306840	And that produces a digital signature. That's all a digital signature is.
306840	312840	It's simply the hash value of the message, the file, encrypted with the sender's private key.
313480	318600	So how large are digital signatures? They're actually quite small. Because what are we encrypting here?
318600	323640	We're just encrypting a hash value. And how large your hash value is? Well, we've talked about
323640	330280	differing hashing algorithms like MD5 and SHA1 and SHA256. They're creating message digest hash
330280	339000	values between 128 bits, 256 bits, maybe 512 bits at the maximum. So all that we're encrypting
339000	345640	here is a few hundred bits of data, a really small amount of data. And the encryption process does
345640	352360	not add much the size. So digital signatures are very, very small. So let's go through a quick
352360	357880	diagram that shows how this actually works when you have a sender and a receiver and they're
357880	364040	using a digital signature to send a message. So here we're going to use an Alice and Bob diagram.
364600	370120	And we're going to start with the message. So here is the message that Alice wants to send to Bob.
371480	378840	Alice wants to have this message to have integrity, authenticity, and non-repediation. To achieve
378840	384600	those three services, Alice is going to create her own digital signature. There are two steps
384600	391960	required to create a digital signature. I'll step one, Alice will hash the message, producing a
391960	398920	fixed-length message digest. Step two, the sender Alice will encrypt the message digest with her
399560	407080	private key, producing a digital signature. So that's the only steps that are required to create
407080	413480	a digital signature. Alice can now attach that digital signature to the message and send it over to
413480	419320	Bob. Now I want to ask you something and I want you to pay very close attention here.
420280	427480	In sending this message with a digital signature attached, did we achieve confidentiality? Can anyone
427480	436680	read this message? Yes, be very, very clear on this. Digital signatures do not provide confidentiality.
436680	443880	Anyone can read the message. All the digital signatures provide are integrity, authenticity,
443880	450840	and non-repediation. So to achieve integrity, authenticity, and non-repediation, Bob has to do
450840	456600	some work with the digital signature. The first thing he has to do is decrypt it because a digital
456600	464200	signature is ciphertext. So Bob is going to decrypt the digital signature with Alice's public key.
464600	470520	And when Bob decrypts the digital signature with Alice's public key, he's going to get back the
470520	477400	hash value that Alice created. And if that digital signature decrypted with Alice's public key,
477400	483080	who's the only person in the world that could have created that digital signature, Alice with her
