start	end	text
0	20000	Let's start with the definition.
20000	40000	Let's start with the definition.
40000	43000	What is SQL or SQL?
43000	46000	SQL stands for structured query language.
46000	50000	This is the language we use for communicating with databases.
50000	60000	And SQL injection are attacks where we're somehow able to send code directly to the database and directly manipulate the database.
60000	62000	Typically, we should not be allowed to do this.
62000	66000	So let's go through an example of what SQL injection can look like.
66000	70000	And think of this as a web server with a database behind it.
70000	72000	This is a very common configuration.
72000	85000	Most websites nowadays are often referred to as dynamic websites where they can store content and create dynamic pages depending on what the user is requested and data that's being pulled out of the database.
85000	90000	And so these dynamic websites inherently require a connection to a database.
90000	96000	And a user should never be able to directly communicate with that database.
96000	99000	But using SQL injection, they might be able to.
99000	101000	So let's look at how this can happen.
101000	103000	We're going to look at a very simple example.
103000	108000	So here's a login mechanism where we're supposed to provide our username and password.
108000	111000	We send that username and password to the web server.
111000	116000	The web server then needs to query the database to see if there's a matching username and password.
116000	122000	If there is a matching username and password, the database should return true essentially.
122000	123000	It should say yes.
123000	128000	Return true, there's a matching username and password, and the user should be authenticated.
128000	133000	And if there's no matching username and password, the database should return false indicating.
133000	135000	You know, this is an invalid user.
135000	137000	Don't let them in.
137000	142000	Now rather than providing a valid or even invalid username and password, here's what we're going to put in.
142000	146000	We're going to put AA, apostrophe, or 1 equals 1 dash dash.
146000	148000	The pink text here, the AA, doesn't matter.
148000	149000	It couldn't be anything.
149000	153000	This gold text here, this is the SQL injection.
153000	156000	And we're also going to put something in password field, BBB, doesn't matter.
156000	158000	You can put whatever you want in there.
158000	161000	So I'm going to send this data to the web server.
161000	166000	And the web server is now going to create a SQL request to the database,
166000	173000	asking if this username and this password exist in the database to see if this should be an authenticated user.
173000	177000	So here's the SQL statement that the web server creates.
177000	182000	Select from users where user name equals, and what's the web server going to put in here?
182000	191000	Well, if it's a very badly coded web server, what it might do is drop in this exact data that I've provided.
191000	195000	So it'll put in AA, apostrophe, or 1 equals 1 dash dash.
195000	198000	And what's it going to put in the password field?
198000	201000	The password that I provided, BBB.
201000	205000	And this SQL statement is now going to be sent to the database server.
205000	211000	And it's now the database server's job to try and interpret this statement that it's received from the web server.
211000	214000	So let's look at how the database server actually interprets this statement.
214000	217000	Can you see the first problem here?
217000	221000	The first problem is actually this apostrophe right here.
221000	224000	Because how does the database treat this apostrophe?
224000	227000	Well, it treats this apostrophe as the end of the username.
227000	231000	And so the database is going to look for a user called AA.
231000	235000	And is there a matching user called AA in the database? Probably not.
235000	237000	But we'll get to that in a second.
238000	240000	Now, what about this OR part?
240000	242000	What does it treat that as? Is it part of the username?
242000	244000	No, because this is the end of the username.
244000	247000	This OR is actually treated as SQL code.
247000	250000	So the database thinks this is an OR statement.
