start	end	text
0	20000	Okay, we're still in the domain number 6, which is testing and assessment.
20000	40000	We're still in the domain number 6, which is testing and assessment.
40000	46000	This section here talks about how security will be collecting certain types of information
46000	50000	that we need to provide assurance to stakeholders.
50000	59000	And the theme of this is that we may be collecting very technical information related to certain things that security does.
59000	69000	But the bottom line is that we're going to need to translate that into language that the stakeholders and our audience wants to hear it in.
69000	73000	Always based on goals and objectives of the organization itself.
73000	77000	And Rob's going to tell us what smart metrics are.
77000	82000	Yeah, I'm sure if you've ever had to do an employee performance review, you've come across this horrible acronym.
82000	86000	And you don't have to memorize smart metrics for the exam, but it highlights what we're talking about here,
86000	90000	which is when you want to be able to tell someone is the testing we're doing going well,
90000	92000	is the system operating effectively.
92000	95000	You've got to think very carefully about what metric data do you collect.
95000	97000	And this is where you have this idea of smart.
97000	99000	Is the metric data very specific?
99000	102000	Is it measurable? Is it actionable? Is it relevant? Is it timely?
102000	107000	You've got to think very carefully about what metrics you're collecting and what they'll tell people.
107000	112000	Because I'm sure you've seen this. There's plenty of examples where you can collect useless metrics.
112000	116000	Would it be useful if the CEO asked, how secure is our environment?
116000	120000	And you said, oh well, we've had 7 billion hits against our firewall.
120000	122000	Would that tell the CEO anything?
122000	129000	No, you have to translate into terms that relate to risk and exposure to the organization, for example.
129000	130000	Exactly.
130000	134000	Now, one bit of terminology that you need to know about are these different key indicators.
134000	137000	And there's two. There is key performance indicators.
137000	141000	And there's key risk indicators, KPIs and KRIs.
141000	144000	And here's a really simple way that I found to think about these, okay?
144000	146000	Because it sounds kind of confusing.
146000	149000	Key performance indicators are backward looking.
149000	155000	And by that, I mean, by looking backwards, you can say, did we actually achieve the performance goals that we were looking to meet?
155000	159000	Like if we said, we're going to go and do this thing, we're going to spend this money on this, we're going to do this that and the other thing.
159000	163000	KPIs look backwards and say, did we actually achieve that?
163000	167000	And then KRIs, key risk indicators, are forward looking.
167000	170000	This is where you say things like, you know, these are the risks that we're worried about occurring.
170000	174000	That might happen. These are the things that could potentially happen.
174000	178000	And KRIs are how you measure to see, look forward and say, are these things actually occurring?
178000	180000	And that's the key difference between those two.
180000	185000	Yeah. And again, important to relate these to goals and objectives of the organization.
185000	199000	In fact, sometimes, you know, even though we're talking KPIs and KRIs, we need to relate these to KGIs, which are key goal indicators that upper management to CEO, the Board of Directors, would be really interested in.
199000	201000	Exactly.
201000	204000	Now, can we ever measure everything?
204000	211000	Can we know, yeah, I mean, can we ever measure anything? And the answer, of course, is no.
211000	214000	So how do we decide to what to focus our metrics on?
214000	227000	Well, good answer would always be value, but if we understand the goals and objectives of the organization, then, you know, and if we involve those people at that level, they're going to tell us what they're interested in measuring.
228000	233000	And that's what we, security professionals and what security does, should put priority on.
233000	241000	Always measuring things in terms of goals and objectives of the organization and what's meaningful to those people at that level.
241000	247000	Yeah, I mean, whatever the organization is trying to achieve, we should be figuring out how we can show, develop metrics that we're going to show.
247000	252000	Are we actually getting there? That's a perfect example of how we align security with overall business goals and objectives.
253000	256000	Yeah, we've got some examples here on the next slide.
256000	268000	But, you know, the point that we're trying to make here is when you look at some of these, they may be at the technical level that may need others to be able to translate into goals and objectives of the organization.
268000	280000	So this is an area that I think security has struggled with in the past, but that's because we've always had that bottom-up approach to security, and that makes it difficult to try and relate to goals and objectives.
280000	289000	The answer to this is top-down, and if those people are involved in what security does, it becomes easy in measuring what they're interested in.
289000	291000	Yeah, and different stakeholders are going to want to know different things.
291000	297000	So backup verification is an example. You would never tell the CEO how many of the backups have been verified correctly.
297000	300000	But the person that's in charge of backups, they'd want to know that.
300000	304000	So the metrics are going to vary depending on who you're reporting them to, and that's just all we want to show with this slide.
304000	312000	Speak the audience's language, which means based on what they want to hear, based on what they are accountable for, goals and objectives.
312000	314000	Metrics, it doesn't matter.
