start	end	text
0	14000	FEDERATED IDENTITY MANAGEMENT
14000	16000	FEDERATED IDENTITY MANAGEMENT
16000	20000	Let's talk about what this looks like from user's perspective.
20000	34000	FEDERATED IDENTITY MANAGEMENT
34000	36000	FEDERATED IDENTITY MANAGEMENT
36000	40000	Let's talk about what this looks like from user's perspective.
40000	44000	From user's perspective, they can log in once, usually with their corporate credentials,
44000	48000	and then magically get access to a bunch of different systems.
48000	51000	Sounds just like single sign on, doesn't it?
51000	57000	But there's a really important difference between FEDERATED IDENTITY MANAGEMENT and single sign on.
57000	62000	And the key difference is that single sign on is typically only within one organization,
62000	66000	and it only enables access to one organization's systems,
66000	74000	whereas FEDERATED IDENTITY MANAGEMENT is allowing users to access multiple different entities systems.
74000	78000	So let's start with an example to kind of put this into the real world.
78000	82000	So let's think of how when you're browsing the web nowadays,
82000	88000	there's lots of websites that you can go to where instead of having a unique username and password on that website,
88000	94000	instead what you have is it gives you the website, will give you the ability to log in with Google or Facebook,
94000	97000	or your Amazon ID, or something like that.
97000	100000	So let's pick Facebook as an example.
100000	105000	And let's try and think of a company that Facebook doesn't yet own.
105000	108000	It's genuinely difficult to think of a company that they don't own yet.
108000	110000	Spotify. I don't think they own Spotify yet.
110000	112000	So let's go with them, for example, okay?
112000	115000	So here's how this would work.
115000	118000	If I go to Spotify.com, and I go to Login,
118000	122000	instead of providing a unique username and password for Spotify.com,
122000	126000	instead I click the button that says Login with Facebook.
126000	128000	And then what will happen is a window will come up.
128000	132000	And what do I type in there? I type in my Facebook credentials.
132000	138000	And I essentially log in and I'm identified and authenticated by Facebook.
138000	141000	And then when that Facebook has authenticated me,
141000	144000	I'm then able to log in to Spotify.
144000	147000	This is exactly what Federated Access Management is.
147000	152000	It's a trust relationship between three entities.
152000	154000	You've got your user or your principal.
154000	157000	That's the person who's actually logging in.
157000	160000	You've got your identity provider.
160000	163000	This is the entity that stores the user's identity,
163000	167000	their account, and knows the user's username and password,
167000	171000	or whatever they authenticate with knowledge, ownership, or characteristic.
171000	174000	And then the third entity in the trust relationship
174000	178000	is the relying party or the service provider
178000	180000	that the user actually wants to access.
180000	182000	So in the example that we just talked about,
182000	184000	let's relate who each of the entities are.
184000	188000	So the user principal, that's obviously the person that's logging in.
