start	end	text
0	18960	We've been talking about how security needs to be involved in the software development process,
18960	38960	not only in what we call, we've been talking about how security needs to be involved in the software development process,
38960	45960	not only in what we call the SDL, see the systems development lifecycle, but in the entire system lifecycle,
45960	53960	which includes other phases like decommissioning, for example. But what if you're an organization that does not develop your own software?
53960	60960	In fact, you may buy it or you may contract out to development companies to develop for you.
60960	69960	The bottom line is should security be involved in that process, and the answer to that is a resounding yes of course.
69960	75960	Because obviously if you're buying software or you're getting it built from some other organization,
75960	80960	you want to make sure that that software is obviously free from vulnerabilities and exploits.
80960	89960	But also does the functionality that it's supposed to, especially from a security perspective, and that requires us to understand the requirements ahead of time.
89960	97960	It's never a good idea to involve security after the fact, as you know, but in many cases when companies are buying software,
97960	104960	they don't involve security until after the fact, and one of the things that we have to think about is that if you buy software,
104960	113960	you're not actually buying the software itself, you're buying licenses to use that software, and most companies will not give you the source code,
113960	120960	which makes it problematic from our perspective to be able to understand whether first of all the right security controls are in there,
120960	128960	and whether there are vulnerabilities and exploits or back doors for example that may be included in that software.
128960	133960	So providing software assurance is something that's pretty important from our perspective.
133960	142960	Without having access to the code that becomes pretty difficult unless you involve security in understanding the requirements right from the start
142960	147960	and throughout each of the phases of buying software, for example.
147960	157960	So what you see here on this slide are the typical phases of how a company might contract out, you know, buying software or developing software from another organization,
157960	162960	and it starts with the planning and the requirements, and that's a pretty important phase, isn't it?
162960	170960	Understanding the security requirements of that software is something that we would have to write into the RFP, for example,
170960	181960	that's going to be issued out there so that we can ensure that the right level of security is actually designed and built into ultimately the application that we're going to buy.
181960	196960	And then when we contract out, we're going to make sure that again, we're following the policies, the requirements, and security is going to be involved in the acceptance phase as well to ensure that that product does what it's supposed to from a security perspective.
196960	204960	And then, of course, while that product is being used, security monitors and tests and is involved in logging and monitoring.
204960	218960	In other words, security is involved in all of the phases of buying software or contracting it out to some other organizations as we should right from the start and throughout each of the phases of anything.
226960	231960	Thank you.
