start	end	text
0	20000	We're continuing our discussion of the major components and systems that we use within IT and we're now...
31000	42000	We're continuing our discussion of the major components and systems that we use within IT and we're now have arrived at distributed systems.
42000	43000	So what are those, John?
43000	49000	Yeah, distributed systems. I think the easiest way to think of what a distributed system is is a network.
49000	56000	A distributed system is simply a bunch of devices, nodes that are connected to each other for whatever purpose.
56000	61000	Either communications or sharing tasks or doing things that are important today.
61000	64000	Think of a network as a distributed system.
64000	68000	Yeah, the largest distributed system in the world is the Internet.
68000	71000	Yeah, we use distributed systems all the time.
71000	74000	So what's a grid computing then?
74000	80000	Well, I think if you look at the slide here, it gives us a good indication of what grid computing is.
80000	92000	Simply a whole bunch of devices that are connected to each other to work towards one common task so that they can all contribute and make the task much easier or even possible to achieve.
92000	94000	In fact, I think you've got a pretty good example.
94000	99000	Yeah, so there's this organization called SETI and they are looking for aliens, little green people.
99000	101000	Why they always green? I don't know.
101000	107000	Here's the problem with SETI. They're searching for aliens, but as you can imagine, they're not super well-funded.
107000	110000	It's hard to get academic grants for looking for aliens.
110000	121000	So SETI has managed over the years to get access to radio telescopes to listen to the night sky and to pick up the signals that ET might be sending, radio signals.
121000	126000	And so SETI has managed to get time on radio telescopes and now they have all this data, but they have a big problem.
126000	134000	They need to scan through this data to look for patterns and that takes a lot of computing power and they don't have any budgets.
134000	139000	So what they figured out, and this is really cool, they did this like 20 years ago, it was called SETI at home.
139000	145000	It was a screensaver you could install on your computer and what would happen is you would download your computer when the screensaver ran,
145000	152000	would download a little slice of this radio data and then your computer would scan through that data looking for signals or aliens.
152000	157000	And then when your computer was done, it would send back that little slice of data to the SETI organization and you'd get the new one.
157000	168000	And they called the SETI at home and they made a bit of a, they kind of gamified it, they made a bit of a competition out of it where there was a leader board as to exactly how many people were computing so many chunks of data per day and so forth.
168000	172000	And it ended up being at the time the largest grid computer in the world.
172000	177000	There was millions of systems all working on this at once and so that created a massive grid computer.
177000	181000	And that's what grid computing is, a whole bunch of systems working together trying to solve a single problem.
181000	207000	Yep and you know obviously we have to relate this to security correct so if you look at the slide that you have in front of you, you know that's what the architecture looks like but from a security perspective you need to protect not only that server in the middle for example that drives everything but also all of the individual components that are part of that grid computing architecture because they may have very valuable information that belongs to organizations.
207000	214000	So just like anything else you have to break the architecture down into components and to protect each one as we know.
214000	217000	Next topic, data warehouses, what are those John?
217000	232000	Well companies have been doing this because you know when you look at the history of databases companies have been building databases so that we can store valuable and meaningful information in these formats.
232000	238000	But then you know looking at the databases and updating them is what drives business decisions.
238000	249000	And so we found value because historically we had different databases that companies had built for different purposes and they may have their own little data store.
249000	257000	And if you're trying to analyze the data in a centralized place, if you're trying to analyze data it's very hard to do that when it's all fragmented spread across all these systems.
257000	284000	Yeah so companies figured out that there's value in taking all of this different information possibly in different formats and putting it all together because if you put information all together gives you the ability to analyze that data and you can find much more meaningful information related to what trends, relationships, correlations, patterns, all of that invisible data that is now visible because you put everything together.
284000	290000	Yeah to make better business decisions is what it's all about. But of course now the no one wants to talk about data warehouses anymore.
290000	300000	The new sexy thing is of course big data. So what's the difference between a data warehouse and big data because the whole idea behind big data is that you bring in data from all these different sources and you analyze the data.
300000	304000	It sounds just like a data warehouse. So what's the big difference?
304000	310000	The way I like to remember it and it's pretty common in the industry you've got the three V's volume velocity and variety.
310000	318000	And let's start with volume. With a data warehouse you tend to be restricted to the computing capacity capacity storage capacity of a single even high power system.
318000	329000	But in big data you can store data across thousands of systems. And it's worth maybe taking a step back for a moment and think about where did big data actually come from? Where did this concept originate?
329000	336000	And the creators, the idea where big data first came from was essentially Google because they had a pretty big data problem.
336000	343000	They were trying to index the entire internet and then be able to search that entire internet in milliseconds. They're still proud of this to this date right.
343000	348000	They'll show at the bottom of search page how many results how many millions of results were returned in like three milliseconds.
348000	355000	And so they needed to store a huge amount of data. So that's the volume of data in a big data warehouse.
355000	363000	In big data you can store your data set across thousands of systems and the other big thing variety.
363000	371000	With data warehouses you could typically only store relational or nice and clean table database where there's rows and columns.
371000	379000	But in big data you can store files, unorganized text, pictures, videos, so all this different variety of data.
379000	383000	And then volume is just how quickly you can ingest it, analyze it, and output it. That's kind of the difference.
383000	386000	But otherwise both of these are all about doing what?
386000	396000	Well the whole purpose is to gain business intelligence, metadata, valuable information that can drive better decisions.
396000	399000	And we often refer to that as data mining or analytics.
399000	403000	Now there's two kind of major risks we have to be aware of with both of these, right?
403000	405000	Inference and aggregation.
405000	412000	Yeah, although you know what's important for us to understand is that aggregation on its own is not a problem.
412000	425000	And neither is inference, correct? Because that's why we're putting information together to have the ability for us to be able to infer more business decisions and valuable information.
425000	430000	So I mean this is the reason why we have databases and big data and so on.
430000	438000	Data mining is all about aggregation putting things together and then being able to infer more sensitive valuable information.
438000	445000	So this is why we do it. The problem is unauthorized inference and aggregation.
445000	454000	Because if you put all of this information together to allow us to analyze it, you know that may be easier for unauthorized people to analyze information that you don't want them to do.
454000	462000	You don't want them to be able to infer or making or inferring things that maybe they're not supposed to, even for real employees.
462000	466000	So I've got a good example of this and I can talk about it because this was a real world event.
466000	471000	It was published in a number of papers. It was actually quite a while ago, over six or seven years ago, I think.
471000	473000	Here's the story. It's kind of a fun one.
473000	478000	So a man walked into a target store and this guy was just irate. He was furious.
478000	484000	He just managed to see the store manager and when he got into the store manager's office, he just unleashed on this poor store manager.
484000	488000	What is wrong with you? What sort of soulless, heartless, disgusting, corporate.
488000	495000	He was furious and the store manager just at first couldn't understand why this guy was so angry about because he was just like,
495000	499000	off out of his mind. But as he started to cool down, the story came out.
499000	507000	And what this guy was so incredibly angry about is that target had been sending pregnancy-related coupons to his teenage daughter.
507000	514000	Basically saying is like, what is wrong with you people? Are you trying to encourage teen pregnancy? Like, do you have no morals? What is wrong with you?
514000	520000	So this is what he was so incredibly upset about. So he just unleashed on the store manager and then he left.
520000	524000	But then he came back a few days later. He asked to see the store manager again.
524000	528000	And this time, he was a little calmer. In fact, he was a little sheepish.
528000	532000	And when he got into the store manager's office, he said, I'm here to apologize.
532000	536000	The reason he had to apologize, turns out she was pregnant.
536000	542000	So here's the interesting question. How did Target know that his teenage daughter was pregnant before he knew?
542000	547000	And to be clear, Target did know that his teenage daughter was pregnant before the dad knew.
547000	554000	How? Well, to me, it's obvious. It was the store manager that got her pregnant.
554000	560000	I mean, all comes Razor, maybe, you know, maybe even though it's not the real reason. No. Although I can make sense.
560000	567000	The real reason they knew is, inference and aggregation, Target collects a huge amount of data on their customers.
567000	573000	They've got, you know, all their brick and mortar stores, all their online presence. They track whatever people are buying.
573000	580000	They used to have, maybe they still do not an expert on Target, but they used to, they have drug stores in their stores.
580000	583000	So they would know what sort of drugs you were buying. They had their red card.
583000	587000	So they were able to track user purposes. They even had debit card or I think credit card services.
587000	591000	They knew a lot of financial information. And then they do what all these big companies do.
591000	595000	They combine that through sources like Lexus Nexus and with other things like Google and Facebook.
595000	604000	And it is remarkable how much these big organizations know about an individual. They'll know your age, your gender, your race, where you live, your socio-economic situation.
604000	611000	And they know exactly what you're buying. And they employ huge teams of data scientists to look for these little indicators.
611000	619000	Like if you suddenly switch from scented to unscented hand cream and you start buying this versus that, then the probability that you're pregnant goes way up.
619000	622000	And that's exactly what they were measuring. And that's how they knew.
622000	626000	And so the thing I was like to think about here was, was what Target was doing illegal. And I don't want to be clear here.
626000	633000	Like all the big companies do this. I'm not just picking on Target here. But was what Target was what they were doing, was it illegal?
633000	637000	And the answer is absolutely not. It was creepy, but not illegal.
637000	644000	And maybe just to finish this one off, there's one little funny piece here. And that is, so did Target change their ways? Did they suddenly stop doing this?
644000	649000	No, they just got smarter. They still send out all sorts of targeted advertising, but they make it look less targeted.
649000	656000	They'll throw in, instead of just being all pregnancy related items, they'll throw in a lawn tractor and a pool table or something else to make it look less targeted.
656000	662000	So that's the problem of unauthorized inference and aggregation. It's not just Target that does it.
662000	670000	I'm sure Walmart and other retailers and other industries do it as well. It's all available. It's easy to put all of that information together.
670000	677000	Let me share one other example that I think really kind of highlights this. So think of a big bank, okay? Big banks often have multiple divisions.
677000	681000	One division might be the stock traders. They're buying and selling stocks to try and make a profit.
681000	687000	The other division is your M&A people. They are helping companies buy each other or buy each other, merge.
688000	695000	Now, what would happen if the stock traders knew what the M&A people were up to? If they knew, for instance, that this company was about to buy that company?
695000	701000	Would that be useful information to have to buy and sell stocks? It absolutely would be. But what do we call that, John?
701000	707000	Business intelligence. We call that insider trading, and it is absolutely illegal.
707000	719000	So that's a perfect example where even within one company, you've got to be very careful about what your employees are allowed to infer from what other employees may be doing because you can easily be guilty of insider trading.
719000	721000	So how do we prevent this, John?
721000	734000	Well, there is something that you need to remember. So for unauthorized inference and aggregation, the way that we can prevent to some degree, all of that, is through what we call poly instantiation.
734000	749000	And if you take that word apart, poly means many, instantiation means instances. It really means allowing information to exist at different classification levels for the purpose of preventing unauthorized inference and aggregation.
749000	756000	And we're actually going to look at this in more detail later on when we get into domain number eight, because it really applies there.
756000	764000	We build poly instantiation techniques into our applications to prevent unauthorized risk of inference and aggregation.
