start	end	text
0	6000	So let's kind of dig into it here, and you'll learn about why we talk about something known as the root of trust or the trust anchor.
6000	10000	So, well, it's true that ultimately the key that...
30000	57000	We've talked about digital certificates, which we use to verify the owner of a public key, and we've talked about the entity that you go to to get a digital certificate is the certificate authority.
57000	67000	And the certificate authority will encrypt and create your digital certificate by encrypting some of your information with the root CA's private key.
67000	70000	And all that's true, but there's actually a little more detail to do with than that.
70000	76000	So let's kind of dig into it here, and you'll learn about why we talk about something known as the root of trust or the trust anchor.
76000	89000	So while it's true that ultimately the key that signs that encrypts your digital certificate is ultimately the root CA's key, there's a few more entities involved beneath that.
89000	100000	And this is actually why we call it the root of trust, because there's actually a tree with the root certificate at the top of that tree, and then subordinate CA's beneath that.
100000	107000	So first of all, let's start with this concept of why do we have a root CA and subordinate CA's?
107000	110000	Well, first of all, let's think about it from a security perspective.
110000	116000	This entire system relies upon the security of the private key of the root CA.
116000	121000	If their private key was compromised, this entire system would fall apart.
121000	128000	And this would be a big deal. I mean, some of the big root CA's in the world, Komodo GoDaddy, they signed millions of certificates.
128000	132000	If their private key was compromised, it would be a huge, huge problem.
132000	136000	And you wouldn't be able to trust a vast swath of the internet.
136000	144000	And so if you think about it, how important is it for the CA to protect that private key? It is paramount.
144000	154000	So how do you think they best protect that private key? Well, by not having it online, by airgapping it, by putting out a system that is completely disconnected from the internet.
154000	162000	But if that private key is on a system that's disconnected from the internet, how can they possibly sign new digital certificates?
162000	165000	Well, the way this works, and like I said, there's a tree here.
165000	174000	So the root CA will self-sign their own certificates. So the root CA uses the root CA's private key to sign their own certificate.
174000	179000	And then that root certificate is used to sign subordinate certificates.
179000	188000	And these are usually known as intermediate CAs. And then those intermediate CAs can even sign subordinate CAs below them.
188000	191000	Those are usually then known at the bottom known as issuing CAs.
191000	201000	And then it would finally be those issuing CAs that would actually encrypt or sign an entity level CA, so the CA that a company would use.
201000	204000	So this is why we refer to it as a root of trust.
204000	211000	And so here's a good question. If you've ever asked, who actually issues digital certificates?
211000	216000	The perfect answer would be the bottom of that chain, chain issuing CAs.
216000	222000	If that's not an answer, then intermediate. And if that's not an answer, then root would be the perfect answer.
222000	229000	But the perfect answer to the question of who issues a digital certificate is an issuing CA.
229000	232000	And you can actually see this. You can see this chain of trust.
232000	242000	So if you go into your web browser and you right click on the little lock icon in the browser bar and hit properties, you'll be able to see that there's a chain of trust.
242000	247000	The entity level CA is the lowest of that level and the very top is the root.
247000	253000	So the root CA signs a subordinate CA which signs the entity level certificate.
253000	256000	And so in this example, I'm showing you here from Amazon.com.
256000	263000	You can see that it's actually a couple of, there's an intermediate and a root level CA from global.
263000	268000	Now let's talk about another issue that we have to deal with with digital certificates.
268000	273000	And that is what happens when we want to replace or revoke certificates.
273000	275000	Now let's start with replacement.
275000	283000	So we're going to talk about a key management, how it's a very good idea to rotate or change your encryption keys on a periodic basis.
283000	288000	And the same is true of course for your digital certificate because what does your digital certificate contain?
288000	291000	It contains your public key.
291000	297000	So if you're changing your public and private key pair, that means that you have to change your or get a new digital certificate.
297000	300000	And that's what the replacement process is.
300000	305000	And the way this typically works is that a digital certificate when it's issued will have an expiry date attached to it.
305000	312000	And so whenever you get a certificate from someone, you're going to know when their certificate is meant to expire because you'll have the expiry date on there.
312000	321000	And if you ever go to a website where it says, you know, this website certificate has expired, what that means is that the certificate for that site is past its expiry date.
321000	327000	And it's a good indication that you should go and get a new certificate from that organization.
327000	332000	Now there's another situation that we have to deal with which is a far, far greater concern from a security perspective.
332000	337000	And that is, what happens if your private key has been compromised?
337000	341000	If your private key has been compromised, should anyone trust your public key?
341000	343000	Absolutely not.
343000	345000	So what do we do in situations like this?
345000	349000	Well, this is the whole purpose of this certificate revocation process.
349000	358000	So the way this works is that if you know that your private key has been compromised, you can go to a certificate authority and say, my private key has been compromised.
358000	361000	Therefore, no one should trust my public key.
361000	363000	Therefore, no one should trust my certificate.
363000	366000	And therefore, I'd like you to revoke my certificate.
366000	371000	And the certificate authority maintains a list of all the revoked certificates.
371000	385000	And so your crypto system should, for instance, when it's first getting a, or it's using a digital certificate, it should check with the certificate authority to see if that certificate is still valid or if it's being revoked.
385000	393000	Now there's two major ways that a crypto system can check with the certificate authority and ask, has the certificate be revoked or not?
393000	398000	The older method is known as CRL certificate revocation list.
398000	405000	And the way this works is you query the CA and you say, hey, now I'd like to know if the certificate is being revoked.
405000	412000	And what the certificate will, in CRL, what the certificate authority will send you is the entire list of all the revoked certificates.
412000	415000	And so this can often be a pretty big file.
